complete the function. if <span class='code-text'>-10</span> is not equal to <span class='code-text'>I1</span>, perform the instructions in A. otherwise perform the instructions in B.<br/><br />A: if <span class='code-text'>I2</span> is less than or equal to <span class='code-text'>0</span>, return <span class='code-text'>-2</span>. otherwise return <span class='code-text'>5</span>.<br/><br />B: if <span class='code-text'>I2</span> is smaller than <span class='code-text'>9</span>, return <span class='code-text'>-7</span>. otherwise return <span class='code-text'>4</span>.
int,int
I1,I2
-17,5#5
-10,6#-7
-15,-15#-2
4,-13#-2
-3,-17#-2
17,16#5
20,-16#-2
3,12#5
2,6#5
-19,4#5
-12,0#-2
-2,3#5
2,12#5
-2,-14#-2
7,1#5
-3,8#5
15,-16#-2
1,-20#-2
-1,-9#-2
-18,-10#-2
-1,9#5
19,3#5
15,7#5
-3,-6#-2
19,9#5
9,-13#-2
14,-5#-2
-10,17#4
-2,-13#-2
16,14#5
-1,-16#-2
-2,19#5
-13,13#5
2,3#5
20,17#5
9,16#5
-2,-3#-2
20,-8#-2
-15,17#5
-14,6#5
-15,7#5
13,9#5
7,-11#-2
10,14#5
-11,-20#-2
-3,-6#-2
11,14#5
4,-17#-2
-12,1#5
-6,-7#-2
19,-8#-2
-15,13#5
-5,-5#-2
1,-13#-2
-7,0#-2
-7,-14#-2
18,16#5
10,-20#-2
-12,11#5
-6,-20#-2
3,-12#-2
-2,10#5
11,18#5
13,0#-2
4,1#5
-13,-5#-2
10,-2#-2
-10,4#-7
-6,10#5
-17,20#5
-1,-17#-2
1,-3#-2
-11,10#5
-1,-2#-2
-17,3#5
12,-6#-2
-8,-17#-2
20,8#5
-13,-17#-2
-14,-12#-2
15,10#5
0,-3#-2
-4,18#5
17,-16#-2
-10,-4#-7
17,-13#-2
17,-7#-2
16,-2#-2
10,10#5
-14,-3#-2
-13,10#5
-15,-20#-2
19,19#5
-8,14#5
9,7#5
-16,-13#-2
-17,20#5
11,4#5
-8,16#5
1,1#5
