complete the function. if <span class='code-text'>9</span> is greater than or equal to <span class='code-text'>I1</span>, subtract <span class='code-text'>-5</span> from <span class='code-text'>I1</span>. return the result. otherwise perform the instructions in A.<br/><br />A: if <span class='code-text'>I2</span> is less than or equal to <span class='code-text'>-10</span>, return <span class='code-text'>0</span>. otherwise return <span class='code-text'>8</span>.
int,int
I1,I2
-16,-18#-11
11,11#8
-14,-17#-9
-19,-8#-14
-12,-11#-7
-14,1#-9
16,16#8
-5,16#0
1,-19#6
11,-10#0
10,-3#8
8,-14#13
-8,-17#-3
-17,2#-12
20,17#8
6,7#11
-5,-12#0
18,-13#0
12,-19#0
13,-5#8
4,14#9
-20,19#-15
-11,10#-6
-17,-14#-12
9,4#14
-12,14#-7
-19,5#-14
-6,12#-1
17,-17#0
-10,8#-5
-7,-1#-2
17,20#8
10,-1#8
13,14#8
13,12#8
-5,0#0
17,-1#8
6,-18#11
-3,11#2
-16,0#-11
-4,-10#1
2,1#7
-13,19#-8
-3,3#2
16,4#8
16,11#8
9,13#14
18,-8#8
11,-14#0
16,9#8
12,-11#0
-8,3#-3
-2,-8#3
10,16#8
6,-11#11
-18,13#-13
1,-11#6
3,-1#8
0,9#5
-7,12#-2
12,-10#0
17,2#8
-14,4#-9
-4,-6#1
6,-2#11
11,14#8
-17,-16#-12
13,19#8
2,4#7
-6,-16#-1
0,-5#5
2,6#7
8,18#13
17,13#8
-2,-7#3
6,-13#11
-10,-8#-5
-1,-2#4
-15,-11#-10
-8,-15#-3
1,-19#6
7,16#12
7,18#12
20,7#8
4,-6#9
18,-1#8
-16,-1#-11
8,-1#13
4,2#9
-9,16#-4
-9,1#-4
4,-16#9
-3,-1#2
12,-10#0
20,-8#8
-5,-14#0
8,-3#13
-4,2#1
-14,-13#-9
5,-18#10
