complete the function. perform 2 minus <span class='code-text'>I1</span>. if 8 and the result have different values, return -5. otherwise divide 5 by <span class='code-text'>I2</span> and ignore the remainder. return the result.
int,int
I1,I2
7,-12#-5
0,9#-5
16,12#-5
-14,-6#-5
-12,7#-5
7,0#-5
0,-6#-5
6,11#-5
-5,4#-5
-3,-4#-5
-2,-4#-5
15,-4#-5
-16,0#-5
20,-15#-5
7,7#-5
-9,-10#-5
-9,15#-5
17,20#-5
-4,-11#-5
5,-3#-5
-4,-14#-5
-14,6#-5
-15,15#-5
-16,-2#-5
2,-2#-5
15,-15#-5
-5,-18#-5
-14,3#-5
0,-16#-5
-1,-6#-5
4,9#-5
5,-14#-5
-19,3#-5
14,5#-5
18,18#-5
-8,13#-5
-8,6#-5
0,-7#-5
-6,-3#-1
2,15#-5
-9,3#-5
-16,11#-5
11,-5#-5
-17,3#-5
2,-16#-5
14,-9#-5
-20,13#-5
20,-11#-5
20,5#-5
8,6#-5
-10,-17#-5
13,6#-5
-13,-16#-5
18,3#-5
13,-12#-5
5,-1#-5
2,-12#-5
1,3#-5
-3,8#-5
-18,17#-5
2,-14#-5
-18,1#-5
17,19#-5
11,3#-5
14,6#-5
6,-19#-5
-20,-3#-5
-3,16#-5
12,20#-5
0,-2#-5
3,-20#-5
-3,-3#-5
-18,-3#-5
-10,4#-5
-6,1#5
-12,4#-5
-15,11#-5
20,-18#-5
-11,13#-5
-1,13#-5
-20,-15#-5
3,-13#-5
-13,-4#-5
-6,-14#0
-1,-2#-5
-7,-12#-5
-6,-8#0
-11,-5#-5
3,13#-5
9,15#-5
-6,-12#0
12,-12#-5
1,-3#-5
17,-14#-5
-14,9#-5
17,14#-5
6,19#-5
-16,18#-5
7,6#-5
1,20#-5
