complete the function. subtract -1 from <span class='code-text'>I1</span>. store the result in <span class='code-text'>X1</span>. if the value of 6 is less than <span class='code-text'>I1</span>, perform the instructions in A. otherwise return <span class='code-text'>X1</span>.<br/><br />A: if <span class='code-text'>I2</span> and 2 have the same value, return -5. otherwise return 6.
int,int
I1,I2
-7,18#-6
-10,5#-9
-9,-15#-8
-1,-12#0
6,-8#7
17,-4#6
19,-1#6
2,-6#3
-7,-11#-6
6,-8#7
0,-15#1
3,14#4
-10,-15#-9
4,9#5
18,10#6
2,19#3
-6,-7#-5
16,8#6
-16,3#-15
-19,-8#-18
5,19#6
-20,-3#-19
-6,-6#-5
-10,-9#-9
-18,2#-17
-11,10#-10
-9,18#-8
12,-14#6
8,-20#6
-13,2#-12
-13,14#-12
6,-10#7
-20,8#-19
6,-15#7
13,-13#6
-15,18#-14
10,2#-5
-2,17#-1
13,19#6
-10,7#-9
20,12#6
3,-5#4
6,-10#7
20,20#6
-8,-17#-7
-17,-2#-16
8,14#6
10,-3#6
13,-12#6
3,10#4
19,11#6
13,-4#6
7,-4#6
5,-2#6
-20,4#-19
-17,6#-16
4,-3#5
-7,-11#-6
-16,-20#-15
18,-11#6
14,20#6
-15,8#-14
-10,12#-9
-13,7#-12
16,12#6
-9,15#-8
2,20#3
5,-2#6
10,14#6
18,-3#6
10,15#6
-4,0#-3
15,-7#6
-18,17#-17
-2,14#-1
-20,-1#-19
16,9#6
17,-14#6
14,-5#6
-19,17#-18
19,14#6
-16,19#-15
-17,8#-16
13,-4#6
3,-6#4
19,-2#6
-6,-15#-5
6,-12#7
-1,0#0
-18,-7#-17
-2,-8#-1
-17,17#-16
-20,14#-19
-13,17#-12
5,6#6
-1,15#0
9,3#6
20,-13#6
9,-11#6
1,9#2
