complete the function. divide <span class='code-text'>9</span> by <span class='code-text'>I1</span> and ignore the remainder. store the result in <span class='code-text'>X1</span>. get the total of <span class='code-text'>I2</span> and <span class='code-text'>-6</span>. get the total of the result and <span class='code-text'>X1</span>. return the result.
int,int
I1,I2
-15,1#-5
-4,-8#-16
-9,15#8
-16,15#9
14,11#5
-15,-6#-12
-9,8#1
-17,-3#-9
-20,-14#-20
10,8#2
15,8#2
-11,-20#-26
5,10#5
-14,14#8
19,15#9
5,-15#-20
-7,9#2
11,15#9
13,7#1
-8,-15#-22
19,4#-2
12,15#9
4,-4#-8
-6,-2#-9
-10,16#10
-11,6#0
4,-9#-13
2,0#-2
-16,19#13
14,-18#-24
9,4#-1
18,-7#-13
-17,9#3
-17,-13#-19
19,9#3
16,-1#-7
12,-14#-20
20,5#-1
8,19#14
-19,-8#-14
-16,14#8
14,18#12
2,-3#-5
-13,5#-1
-6,2#-5
17,0#-6
20,2#-4
-8,-15#-22
20,0#-6
-1,14#-1
20,20#14
-20,-4#-10
15,18#12
3,8#5
3,4#1
-2,-11#-21
-7,15#8
-14,-9#-15
2,-15#-17
-5,7#0
4,19#15
7,-13#-18
18,10#4
17,-16#-22
-15,14#8
18,19#13
13,-14#-20
9,7#2
-7,4#-3
-18,-20#-26
-3,9#0
4,-1#-5
5,-18#-23
19,4#-2
-13,-13#-19
-5,14#7
4,-16#-20
-6,-11#-18
7,16#11
-3,-8#-17
-7,-14#-21
-19,11#5
-13,16#10
-5,3#-4
-4,-19#-27
-19,-4#-10
-20,5#-1
-12,-18#-24
17,-9#-15
6,-8#-13
7,-13#-18
-16,7#1
5,-4#-9
12,-13#-19
17,-20#-26
7,-18#-23
4,-9#-13
6,-18#-23
16,-15#-21
