complete the function. perform -8 modulo <span class='code-text'>I1</span>. store the result in <span class='code-text'>X1</span>. if the value of 9 is less than <span class='code-text'>I1</span>, perform the instructions in A. otherwise return 9.<br/><br />A: if <span class='code-text'>I2</span> is larger than -1, return <span class='code-text'>X1</span>. otherwise return -5.
int,int
I1,I2
4,4#9
-6,13#9
8,-16#9
-1,-8#9
-19,-9#9
6,-15#9
2,-2#9
-12,2#9
19,-11#-5
-12,7#9
9,-18#9
-3,20#9
7,17#9
3,-7#9
7,-14#9
-20,-17#9
-16,-12#9
5,14#9
3,-4#9
0,9#9
-4,8#9
-14,-12#9
11,-10#-5
9,8#9
-3,3#9
-4,-1#9
-2,-4#9
14,-19#-5
-20,-6#9
-7,-1#9
-4,-6#9
0,-7#9
2,5#9
-1,-17#9
2,-7#9
-5,12#9
8,4#9
-11,7#9
-15,12#9
-17,11#9
-9,7#9
-4,-19#9
-17,0#9
5,-10#9
-19,20#9
12,-20#-5
0,-3#9
-1,4#9
-19,-3#9
-20,-1#9
-3,5#9
7,-9#9
-19,-5#9
4,16#9
-5,-16#9
-7,-17#9
0,11#9
3,-14#9
12,-4#-5
-6,10#9
2,19#9
3,-5#9
-19,-14#9
-7,2#9
2,-19#9
-2,-13#9
12,-3#-5
5,-5#9
13,-11#-5
4,9#9
-6,-17#9
-9,7#9
-20,12#9
-1,16#9
1,-7#9
7,17#9
8,12#9
-19,7#9
-6,-8#9
6,11#9
3,8#9
-7,5#9
-8,-4#9
-1,-10#9
