complete the function. if <span class='code-text'>I1</span> is greater than or equal to 2, get the product of 0 and <span class='code-text'>I1</span>. return the result. otherwise perform the instructions in A.<br/><br />A: if the value of -1 is bigger than <span class='code-text'>I2</span>, return 3. otherwise return 0.
int,int
I1,I2
12,-5#0
10,9#0
-1,14#0
-16,13#0
-16,13#0
-1,19#0
-6,-5#3
17,7#0
-10,-11#3
0,10#0
14,19#0
4,6#0
18,-3#0
2,12#0
-4,-16#3
6,-18#0
-19,14#0
20,-1#0
-13,-18#3
0,-3#3
10,2#0
-20,-15#3
-10,10#0
18,19#0
18,-7#0
-20,-2#3
12,1#0
18,-13#0
11,10#0
0,10#0
19,2#0
-3,-8#3
-20,-12#3
-8,4#0
-11,16#0
-1,11#0
17,-3#0
-16,8#0
15,6#0
-5,16#0
-5,19#0
7,-11#0
12,15#0
-17,-5#3
-7,9#0
-15,11#0
2,11#0
4,20#0
-15,-2#3
12,-8#0
14,10#0
-9,-9#3
4,-20#0
14,6#0
-4,-7#3
-13,-7#3
-20,-8#3
2,9#0
12,-18#0
17,-6#0
4,-15#0
-18,0#0
-16,-5#3
4,11#0
3,7#0
-13,-16#3
-2,-4#3
0,-10#3
9,-9#0
10,-11#0
-20,-6#3
17,-10#0
11,2#0
-7,-13#3
-4,-18#3
13,-10#0
9,-12#0
18,-3#0
18,-9#0
-8,-10#3
17,11#0
-4,-6#3
-16,8#0
-17,-18#3
7,-16#0
6,-18#0
0,18#0
3,0#0
14,-12#0
14,-11#0
-1,-8#3
14,-3#0
15,17#0
16,7#0
13,-2#0
2,-11#0
-6,6#0
12,-12#0
3,6#0
-17,-11#3
