complete the function. multiply -8 and <span class='code-text'>I1</span>. store the result in <span class='code-text'>X1</span>. if the value of <span class='code-text'>I1</span> is bigger than -3, perform the instructions in A. otherwise return 6.<br/><br />A: if -9 is not equal to <span class='code-text'>I2</span>, return -10. otherwise return <span class='code-text'>X1</span>.
int,int
I1,I2
-7,9#6
19,3#-10
-16,-5#6
-8,17#6
0,-5#-10
3,3#-10
2,19#-10
-3,-10#6
-15,-3#6
-3,-17#6
-6,9#6
1,1#-10
18,12#-10
20,4#-10
13,20#-10
19,6#-10
-1,-15#-10
16,20#-10
4,-8#-10
-10,2#6
7,-8#-10
9,13#-10
-3,1#6
14,3#-10
0,-7#-10
-13,-8#6
-5,-20#6
5,-12#-10
-4,14#6
17,-20#-10
-4,-14#6
-3,11#6
17,-16#-10
4,-6#-10
11,8#-10
14,-12#-10
13,4#-10
6,-7#-10
3,-17#-10
17,3#-10
7,-6#-10
-16,-7#6
-1,3#-10
-10,-10#6
-13,-4#6
-2,13#-10
15,20#-10
2,15#-10
-2,-17#-10
18,12#-10
-19,10#6
13,15#-10
19,12#-10
-20,4#6
10,17#-10
11,-11#-10
-3,8#6
-11,4#6
8,5#-10
13,0#-10
16,-10#-10
-2,5#-10
-4,-12#6
-14,-1#6
11,-4#-10
8,2#-10
-20,12#6
15,9#-10
-2,-13#-10
-19,3#6
8,-4#-10
17,-18#-10
-14,-15#6
8,17#-10
-2,-8#-10
-8,18#6
18,-2#-10
0,18#-10
8,14#-10
-9,10#6
14,-19#-10
-17,-15#6
-6,15#6
15,17#-10
-6,7#6
0,-7#-10
19,9#-10
6,-6#-10
-12,-4#6
14,-6#-10
10,5#-10
15,-20#-10
-8,-3#6
6,-14#-10
-19,11#6
4,-8#-10
13,2#-10
-2,-11#-10
1,-7#-10
0,7#-10
