complete the function. get the remainder when <span class='code-text'>I1</span> is divided by -1. store the result in <span class='code-text'>X1</span>. if <span class='code-text'>I2</span> is not equal to 8, perform the instructions in A. otherwise return <span class='code-text'>X1</span>.<br/><br />A: if -8 is smaller than <span class='code-text'>I2</span>, return 0. otherwise return 4.
int,int
I1,I2
-19,14#0
-14,17#0
1,-20#4
-13,12#0
-15,4#0
-14,-5#0
-10,-15#4
-12,-2#0
-3,-11#4
8,-17#4
12,4#0
11,-6#0
15,-4#0
-8,7#0
11,-3#0
14,15#0
0,4#0
0,-9#4
19,16#0
4,2#0
10,-15#4
-10,-15#4
12,-19#4
18,14#0
19,14#0
-11,16#0
-3,-13#4
-4,20#0
-10,-2#0
6,-12#4
-6,1#0
18,-16#4
13,-16#4
12,17#0
-8,13#0
-14,11#0
5,-13#4
6,20#0
18,18#0
18,1#0
9,12#0
19,-16#4
3,-19#4
-8,12#0
-7,-2#0
-9,15#0
-6,10#0
6,-15#4
-8,9#0
-12,16#0
12,3#0
-15,10#0
-19,13#0
20,6#0
8,-17#4
-2,14#0
15,-6#0
-4,-17#4
19,1#0
-1,-4#0
-11,-11#4
15,-18#4
7,18#0
6,-19#4
14,-19#4
0,-9#4
-20,7#0
-1,-14#4
11,9#0
-16,-13#4
10,7#0
-11,-14#4
-8,-9#4
-9,-17#4
1,11#0
-11,-12#4
5,12#0
-14,-13#4
8,14#0
14,0#0
16,15#0
-8,-6#0
12,-16#4
-6,7#0
4,4#0
-8,-17#4
-6,-8#4
-12,-20#4
-14,7#0
-7,-8#4
3,-17#4
3,14#0
5,-8#4
7,-17#4
5,-4#0
12,20#0
