complete the function. if 4 is larger than <span class='code-text'>I1</span>, get the total of <span class='code-text'>I2</span> and -1. return the result. otherwise perform the instructions in A.<br/><br />A: if -8 is larger than <span class='code-text'>I3</span>, return -7. otherwise return 4.
int,int,int
I1,I2,I3
0,2,11#1
-15,14,-8#13
9,-18,-3#4
-13,5,3#4
-11,-2,-3#-3
-1,-6,-2#-7
-17,-10,4#-11
-1,6,5#5
18,-6,7#4
-10,-1,0#-2
-4,-3,12#-4
17,-16,-20#-7
-17,7,-15#6
11,-15,-7#4
-16,8,-19#7
6,-8,15#4
-10,4,-16#3
-20,-7,-3#-8
-14,-6,-1#-7
-20,10,3#9
13,3,6#4
19,12,-12#-7
0,2,5#1
-7,2,3#1
-9,6,18#5
-19,-2,1#-3
2,-16,18#-17
8,-9,20#4
-12,-5,-5#-6
14,15,18#4
-16,-19,0#-20
-17,-13,16#-14
11,-10,5#4
-12,-2,-8#-3
-1,11,14#10
10,-17,-1#4
-4,-6,1#-7
17,-7,19#4
15,-9,-20#-7
-18,11,0#10
-8,-15,16#-16
14,-2,-4#4
-16,-15,-15#-16
-3,14,17#13
19,-11,18#4
-12,15,-8#14
15,-14,18#4
-13,3,7#2
-2,11,11#10
3,-13,-12#-14
-8,17,-18#16
-10,-19,-4#-20
18,-14,11#4
-9,-13,-7#-14
-15,-3,5#-4
-13,-9,9#-10
-8,-11,-9#-12
-5,-13,12#-14
20,-11,-1#4
-9,-14,-3#-15
-8,10,8#9
6,-8,16#4
8,8,-20#-7
1,1,16#0
7,-2,13#4
-7,2,-9#1
20,-14,-11#-7
-6,-5,-1#-6
-19,-7,-9#-8
6,-15,-1#4
-15,15,0#14
-13,1,2#0
-11,-15,14#-16
-20,-5,20#-6
-17,-18,-11#-19
-10,20,-18#19
-2,2,5#1
-5,-15,-4#-16
-2,-7,-1#-8
16,-3,5#4
-10,-10,14#-11
3,-17,11#-18
-13,4,-9#3
14,1,-6#4
7,11,14#4
-15,9,9#8
-12,14,1#13
-6,13,-3#12
2,-4,-16#-5
20,0,-1#4
13,14,-10#-7
19,-4,-7#4
-6,11,11#10
5,4,-12#-7
-14,18,-12#17
2,-20,13#-21
-7,17,4#16
-14,7,19#6
-14,-13,12#-14
17,-10,20#4
