complete the function. if 4 is greater than or equal to <span class='code-text'>I1</span>, return -2. otherwise add <span class='code-text'>I2</span> and -1. get the product of -6 and the result. return the result.
int,int
I1,I2
-11,-5#-2
12,-19#120
9,-10#66
15,0#6
-16,0#-2
2,9#-2
-11,5#-2
8,-16#102
6,-19#120
-16,6#-2
2,14#-2
-20,-7#-2
15,12#-66
-3,-20#-2
10,4#-18
7,12#-66
-15,-3#-2
15,-19#120
19,-13#84
-3,-13#-2
-6,1#-2
-6,-7#-2
-13,-2#-2
-15,-11#-2
8,5#-24
-4,-2#-2
9,0#6
-6,6#-2
-19,16#-2
8,5#-24
-19,14#-2
-9,11#-2
-9,-1#-2
-16,-6#-2
2,7#-2
7,1#0
-11,-19#-2
-19,7#-2
4,-12#-2
-1,15#-2
-3,16#-2
20,-2#18
-12,-15#-2
19,5#-24
7,-19#120
-1,-16#-2
7,4#-18
11,-18#114
-8,-20#-2
-2,-3#-2
7,-13#84
-6,2#-2
-9,19#-2
-2,-10#-2
13,-6#42
-20,7#-2
13,8#-42
-19,-1#-2
-9,8#-2
-18,-8#-2
-11,7#-2
17,-18#114
-7,-13#-2
14,20#-114
14,-20#126
-16,-18#-2
9,7#-36
12,18#-102
-7,4#-2
2,15#-2
-14,9#-2
11,-16#102
-17,3#-2
18,-2#18
-3,14#-2
-3,-13#-2
-18,-18#-2
20,17#-96
9,-2#18
-19,13#-2
-15,1#-2
3,19#-2
14,12#-66
-5,16#-2
-6,4#-2
20,-7#48
5,-3#24
5,10#-54
-3,-15#-2
-6,-3#-2
-9,-14#-2
19,19#-108
-20,-12#-2
-4,-4#-2
-1,18#-2
-6,13#-2
19,-1#12
-15,-20#-2
6,-6#42
11,-8#54
