complete the function. if 7 is greater than or equal to <span class='code-text'>I1</span>, perform -9 minus <span class='code-text'>I1</span>. return the result. otherwise perform the instructions in A.<br/><br />A: if <span class='code-text'>I2</span> is less than or equal to 4, return 8. otherwise return 2.
int,int
I1,I2
-16,20#7
4,-10#-13
4,10#-13
12,-20#8
-12,-4#3
10,18#2
13,-6#8
-16,-3#7
-7,-7#-2
2,-8#-11
19,19#2
-17,17#8
14,-6#8
2,4#-11
-5,6#-4
5,10#-14
6,11#-15
17,-18#8
-1,16#-8
9,18#2
17,-12#8
-14,13#5
5,12#-14
-12,19#3
-8,-5#-1
0,-8#-9
8,-11#8
20,-16#8
16,8#2
17,8#2
-15,9#6
-13,-17#4
-19,-3#10
2,-16#-11
-18,1#9
10,-4#8
1,3#-10
4,20#-13
-14,-19#5
7,-13#-16
14,8#2
-10,10#1
7,-11#-16
-1,11#-8
15,4#8
-11,-4#2
-16,18#7
-4,-12#-5
1,10#-10
13,-16#8
10,20#2
-14,2#5
-9,3#0
1,-6#-10
11,17#2
-12,9#3
-9,-6#0
-4,-5#-5
-17,15#8
8,0#8
15,12#2
-14,8#5
8,-14#8
10,-6#8
16,-12#8
-7,1#-2
-10,-2#1
20,-6#8
-9,-9#0
0,15#-9
-15,-18#6
-7,11#-2
8,16#2
7,13#-16
-16,10#7
-19,16#10
16,6#2
14,-3#8
19,5#2
-3,-10#-6
-16,-8#7
-11,7#2
-15,-18#6
-5,18#-4
0,-11#-9
-7,11#-2
-6,-2#-3
-11,6#2
7,6#-16
-4,7#-5
2,16#-11
9,0#8
20,1#8
12,10#2
-12,4#3
6,-10#-15
-13,-9#4
12,-7#8
9,-5#8
-4,-8#-5
