complete the function. get the remainder when <span class='code-text'>1</span> is divided by <span class='code-text'>I1</span>. store the result in <span class='code-text'>X1</span>. multiply <span class='code-text'>-6</span> and <span class='code-text'>I2</span>. store the result in <span class='code-text'>X2</span>. if <span class='code-text'>X1</span> is greater than or equal to <span class='code-text'>-1</span>, return <span class='code-text'>-7</span>. otherwise return <span class='code-text'>X2</span>.
int,int
I1,I2
19,-9#54
12,6#-36
9,7#-42
-8,19#-114
12,16#-96
-16,-8#48
-1,16#-96
-17,18#-108
12,-18#108
10,3#-18
-19,-20#120
4,6#-36
7,3#-18
18,-19#114
1,8#-48
-11,-2#12
18,-9#54
7,13#-78
-12,-12#72
-8,15#-90
13,5#-30
0,5#-30
18,20#-120
18,13#-78
14,12#-72
-10,-18#108
18,-15#90
10,8#-48
-7,-17#102
17,-10#60
-16,1#-6
-14,-10#60
2,13#-78
-20,6#-36
-3,-13#78
-14,-10#60
13,11#-66
-11,17#-102
17,4#-24
4,-17#102
-17,-16#96
-14,-13#78
13,-2#12
-7,9#-54
3,13#-78
-3,-15#90
-20,14#-84
5,20#-120
-5,-8#48
-13,-3#18
-19,4#-24
10,4#-24
-16,-4#24
-13,18#-108
-15,10#-60
-4,-8#48
-11,12#-72
11,-13#78
-5,-6#36
8,-4#24
5,-14#84
-15,16#-96
-7,-13#78
17,-1#6
0,8#-48
-9,-15#90
20,4#-24
14,20#-120
-3,4#-24
-6,-15#90
-7,16#-96
9,-18#108
-5,-17#102
-19,-4#24
-11,-20#120
-9,16#-96
-4,15#-90
-6,-1#6
14,3#-18
-8,-11#66
18,20#-120
20,9#-54
9,-14#84
9,3#-18
-4,2#-12
-17,-11#66
9,-12#72
19,0#0
13,12#-72
-14,7#-42
10,-11#66
12,4#-24
-4,-6#36
15,13#-78
-20,-14#84
15,13#-78
-13,15#-90
-20,17#-102
-8,11#-66
7,20#-120
