complete the function. if <span class='code-text'>I1</span> is less than or equal to <span class='code-text'>-7</span>, perform the instructions in A. otherwise perform the instructions in B.<br/><br />A: if <span class='code-text'>I1</span> is equal to <span class='code-text'>5</span>, return <span class='code-text'>2</span>. otherwise, return <span class='code-text'>-7</span>.<br/><br />B: if the value of <span class='code-text'>I2</span> is bigger than <span class='code-text'>-1</span>, return <span class='code-text'>2</span>. otherwise return <span class='code-text'>-9</span>.
int,int
I1,I2
10,-9#-9
18,11#2
-17,-8#-7
7,17#2
-14,7#-7
0,10#2
-4,12#2
10,4#2
9,2#2
-16,-19#-7
-12,9#-7
-2,-11#-9
15,6#2
8,-15#-9
13,3#2
10,-15#-9
-8,-7#-7
-1,11#2
10,-2#-9
4,-2#-9
14,-1#-9
-4,-19#-9
-12,-9#-7
12,8#2
10,-5#-9
-15,-2#-7
7,11#2
14,1#2
-13,-13#-7
12,16#2
13,15#2
-10,-5#-7
-18,5#-7
5,5#2
14,-15#-9
-17,-10#-7
12,2#2
-14,19#-7
9,20#2
-12,9#-7
-14,-3#-7
-5,-15#-9
20,-5#-9
12,5#2
12,12#2
9,1#2
-20,10#-7
-17,-3#-7
15,14#2
-8,9#-7
0,18#2
9,-10#-9
20,6#2
-19,8#-7
-18,-1#-7
-11,-19#-7
-14,-8#-7
-19,4#-7
19,2#2
1,-10#-9
4,-16#-9
19,10#2
2,-5#-9
1,11#2
18,7#2
13,-14#-9
-16,0#-7
-2,4#2
-12,5#-7
14,-2#-9
1,1#2
1,4#2
-9,-8#-7
18,18#2
-4,19#2
0,-2#-9
-3,16#2
-18,-17#-7
18,3#2
-1,6#2
-15,1#-7
10,6#2
-8,9#-7
13,-18#-9
-16,15#-7
4,17#2
-7,8#-7
7,-6#-9
20,-8#-9
-18,-19#-7
-1,-7#-9
-8,-12#-7
7,-2#-9
-16,-5#-7
-16,0#-7
-11,-16#-7
-12,-14#-7
8,-14#-9
1,19#2
6,-2#-9
