complete the function. if <span class='code-text'>-3</span> is greater than or equal to <span class='code-text'>I1</span>, perform the instructions in A. otherwise get the product of <span class='code-text'>7</span> and <span class='code-text'>I3</span>. return the result.<br/><br />A: if <span class='code-text'>I2</span> is equal to <span class='code-text'>7</span>, return <span class='code-text'>2</span>. otherwise, return <span class='code-text'>-10</span>.
int,int,int
I1,I2,I3
6,17,1#7
17,-20,11#77
4,20,-13#-91
-4,4,-5#-10
4,-11,-10#-70
-4,4,9#-10
-3,11,8#-10
12,5,-7#-49
-4,-13,18#-10
-6,-9,-19#-10
-11,-13,16#-10
7,-10,11#77
-16,9,16#-10
17,7,10#70
18,19,18#126
-8,-8,-20#-10
5,4,-3#-21
-6,-19,15#-10
-10,-13,16#-10
-6,6,-17#-10
8,-17,-17#-119
-7,-12,19#-10
-1,-17,0#0
-12,10,-7#-10
10,-12,8#56
-20,16,3#-10
-1,19,11#77
-20,-17,-8#-10
-7,-12,-18#-10
-16,-3,12#-10
-1,0,-5#-35
15,2,-5#-35
19,16,-5#-35
10,-15,-7#-49
1,-10,15#105
16,10,-2#-14
18,-1,9#63
-20,-6,14#-10
14,18,0#0
-12,12,-16#-10
10,-19,0#0
2,-17,20#140
-11,-16,16#-10
11,-14,1#7
15,10,-12#-84
-12,11,15#-10
-18,17,2#-10
2,13,-16#-112
-20,-8,3#-10
16,11,15#105
-5,-17,-20#-10
-6,15,5#-10
19,4,-12#-84
-11,-1,16#-10
-10,-5,-14#-10
18,18,0#0
-13,-18,1#-10
-6,-3,-11#-10
0,-8,2#14
-2,-19,-3#-21
-11,-10,1#-10
-14,-2,8#-10
6,16,-11#-77
5,18,-16#-112
18,15,5#35
14,-1,12#84
-10,17,-17#-10
-17,-7,-4#-10
-9,-18,15#-10
-5,-3,-1#-10
-4,-11,-9#-10
4,-20,6#42
16,-9,-11#-77
12,8,2#14
-8,-6,6#-10
18,0,8#56
-19,-14,-7#-10
-20,-12,-9#-10
4,-8,-17#-119
0,12,9#63
20,18,13#91
10,-17,9#63
10,-6,11#77
-12,-11,10#-10
18,-20,11#77
-13,16,12#-10
-10,-20,9#-10
-10,-3,-13#-10
10,-4,2#14
-12,-11,9#-10
-16,-15,-1#-10
19,-20,-19#-133
8,10,-7#-49
3,-2,13#91
6,11,2#14
7,-8,-16#-112
12,-8,15#105
16,-9,3#21
20,-6,-18#-126
-7,20,-12#-10
