complete the function. if <span class='code-text'>-10</span> is less than or equal to <span class='code-text'>I1</span>, perform the instructions in A. otherwise perform the instructions in B.<br/><br />A: if the value of <span class='code-text'>I2</span> is bigger than <span class='code-text'>-8</span>, return <span class='code-text'>0</span>. otherwise return <span class='code-text'>-4</span>.<br/><br />B: if <span class='code-text'>7</span> is less than or equal to <span class='code-text'>I2</span>, return <span class='code-text'>-7</span>. otherwise return <span class='code-text'>-10</span>.
int,int
I1,I2
-9,0#0
-3,-12#-4
11,7#0
-12,-8#-10
-20,-20#-10
-15,-2#-10
6,14#0
2,3#0
-16,-17#-10
7,-15#-4
1,10#0
9,18#0
-3,9#0
4,12#0
20,5#0
-6,14#0
-5,-18#-4
-20,11#-7
-9,16#0
-2,-5#0
8,-12#-4
-15,16#-7
17,-6#0
15,-19#-4
4,-9#-4
1,-20#-4
-7,-7#0
-14,0#-10
-3,0#0
-12,-4#-10
-20,5#-10
-10,15#0
-4,-10#-4
0,-16#-4
-9,2#0
-18,1#-10
6,13#0
-2,-20#-4
-12,14#-7
-7,-9#-4
-2,-4#0
3,-10#-4
6,12#0
4,-3#0
-15,-4#-10
-18,-4#-10
12,-9#-4
8,15#0
-2,15#0
-16,5#-10
-7,-6#0
-7,-7#0
-7,1#0
10,20#0
16,-5#0
15,-11#-4
-5,-11#-4
19,15#0
-1,-6#0
9,7#0
2,8#0
9,-12#-4
0,-10#-4
19,-2#0
3,5#0
5,-4#0
7,-18#-4
9,15#0
12,10#0
14,-20#-4
19,1#0
-1,18#0
-13,-8#-10
-6,-17#-4
-14,-18#-10
-13,-15#-10
17,9#0
10,5#0
-12,15#-7
-6,8#0
9,10#0
-15,12#-7
-7,-10#-4
9,-11#-4
-4,-4#0
-13,-8#-10
-20,20#-7
5,-14#-4
-4,18#0
5,-11#-4
-13,16#-7
-2,19#0
6,-20#-4
8,-3#0
3,-4#0
7,-8#-4
10,16#0
-18,-12#-10
-17,-9#-10
6,1#0
