complete the function. if <span class='code-text'>I1</span> is greater than or equal to <span class='code-text'>8</span>, perform the instructions in A. otherwise divide <span class='code-text'>I3</span> by <span class='code-text'>7</span> and ignore the remainder. return the result.<br/><br />A: if <span class='code-text'>5</span> is greater than or equal to <span class='code-text'>I1</span>, return <span class='code-text'>-6</span>. otherwise return <span class='code-text'>9</span>.
int,int
I1,I3
19,6#9
18,-17#9
-8,20#2
-6,-19#-2
16,2#9
7,16#2
8,3#9
-8,-18#-2
11,-11#9
-8,-12#-1
-5,3#0
-13,15#2
-11,-4#0
-18,-8#-1
-15,12#1
-17,8#1
4,-14#-2
5,18#2
6,-12#-1
5,17#2
-14,-19#-2
18,14#9
6,11#1
-18,0#0
2,-3#0
-2,2#0
-6,-20#-2
8,-6#9
-6,-2#0
-1,-4#0
-17,-17#-2
-20,-4#0
-5,16#2
8,18#9
-17,2#0
13,18#9
-7,-10#-1
-9,4#0
-11,-15#-2
-20,5#0
9,-5#9
-7,-12#-1
0,-3#0
7,18#2
14,-7#9
19,-9#9
-3,-12#-1
-9,-12#-1
7,4#0
-12,18#2
-6,-18#-2
5,-3#0
-3,14#2
17,-17#9
0,-6#0
16,-17#9
-13,7#1
-11,-11#-1
-19,11#1
-2,4#0
-7,-13#-1
-5,-18#-2
8,11#9
8,-18#9
-15,-20#-2
20,-6#9
-7,16#2
-18,4#0
-17,-4#0
-4,8#1
12,-10#9
7,6#0
10,14#9
12,-19#9
-3,14#2
-14,6#0
-1,11#1
1,-10#-1
-19,19#2
6,6#0
19,15#9
11,19#9
-13,-10#-1
-8,20#2
-18,-12#-1
-20,-2#0
4,15#2
-20,-1#0
-9,4#0
-1,-10#-1
-4,-8#-1
4,18#2
-14,16#2
18,-19#9
-8,-1#0
-16,3#0
9,-14#9
14,-14#9
5,9#1
8,14#9
