complete the function. if <span class='code-text'>I1</span> and <span class='code-text'>1</span> have different values, perform the instructions in A. otherwise return <span class='code-text'>0</span>.<br/><br />A: if <span class='code-text'>I1</span> is greater than or equal to <span class='code-text'>8</span>, return <span class='code-text'>7</span>. otherwise perform the instructions in B.<br/><br />B: if <span class='code-text'>I2</span> is less than or equal to <span class='code-text'>0</span>, return <span class='code-text'>-6</span>. otherwise return <span class='code-text'>-8</span>.
int,int
I1,I2
10,8#7
9,19#7
6,-20#-6
-14,19#-8
19,-20#7
-11,-3#-6
15,15#7
17,-10#7
-11,-1#-6
9,-2#7
19,8#7
18,0#7
-20,-16#-6
-12,-9#-6
0,1#-8
-15,3#-8
3,7#-8
-2,0#-6
1,9#0
13,-12#7
18,-18#7
-9,11#-8
-17,19#-8
20,-3#7
17,14#7
-3,10#-8
-12,2#-8
0,-13#-6
6,17#-8
-18,-18#-6
7,7#-8
7,-19#-6
15,-3#7
-5,3#-8
-11,10#-8
-8,11#-8
16,-14#7
13,5#7
6,1#-8
-12,4#-8
2,13#-8
-19,-5#-6
13,-6#7
-3,18#-8
-18,-8#-6
-11,-10#-6
3,6#-8
-6,-11#-6
12,2#7
14,17#7
-17,6#-8
0,9#-8
-2,8#-8
-9,16#-8
19,10#7
-2,-14#-6
17,20#7
10,-7#7
3,6#-8
-14,14#-8
-8,-13#-6
10,-4#7
-3,13#-8
-9,15#-8
-1,-16#-6
-14,15#-8
2,7#-8
-20,-19#-6
-13,2#-8
-10,-6#-6
4,19#-8
-1,3#-8
10,-7#7
-3,16#-8
-4,18#-8
20,5#7
-13,-16#-6
5,0#-6
2,-19#-6
7,-16#-6
1,6#0
-1,12#-8
-8,-9#-6
-8,-3#-6
-1,8#-8
8,2#7
18,4#7
-5,-7#-6
-7,5#-8
12,-2#7
0,-10#-6
2,-14#-6
-1,7#-8
15,19#7
-10,12#-8
16,3#7
-15,16#-8
-4,20#-8
2,-10#-6
15,17#7
