complete the function. if <span class='code-text'>8</span> is less than or equal to <span class='code-text'>I1</span>, perform <span class='code-text'>I1</span> minus <span class='code-text'>-5</span>. return the result. otherwise add <span class='code-text'>5</span> and <span class='code-text'>I2</span>. return the result.
int,int
I1,I2
-16,10#15
-15,10#15
6,11#16
10,-16#15
-8,-12#-7
1,-2#3
2,2#7
-4,14#19
-6,-10#-5
-10,-12#-7
13,10#18
5,15#20
-11,6#11
-8,16#21
17,20#22
9,13#14
-8,-1#4
-1,0#5
4,-15#-10
16,-9#21
-1,-8#-3
-19,12#17
-12,-7#-2
15,-19#20
10,2#15
-2,14#19
-7,17#22
3,-14#-9
-14,10#15
17,13#22
-4,-18#-13
-15,3#8
1,6#11
-16,18#23
-20,-15#-10
14,-12#19
9,-19#14
-7,-5#0
4,1#6
-13,1#6
16,15#21
20,-5#25
12,-19#17
15,-13#20
16,14#21
-9,5#10
16,-18#21
-2,-4#1
7,-16#-11
-4,-10#-5
-11,2#7
4,15#20
-6,-8#-3
10,-15#15
5,-2#3
18,-10#23
-15,-15#-10
-16,10#15
8,8#13
-20,8#13
0,10#15
-18,5#10
1,11#16
11,0#16
-11,-3#2
-10,-2#3
-7,10#15
-3,-8#-3
-20,7#12
15,-1#20
-1,-6#-1
-19,-18#-13
-11,-20#-15
9,9#14
5,8#13
5,7#12
2,-2#3
-11,-16#-11
12,15#17
17,1#22
13,17#18
4,-11#-6
-12,6#11
-6,10#15
6,4#9
8,20#13
-15,-20#-15
14,-17#19
-4,12#17
8,-2#13
9,-9#14
-3,20#25
-5,-20#-15
-9,-19#-14
-15,13#18
10,-15#15
18,-9#23
9,-15#14
8,4#13
13,17#18
