complete the function. if the value of <span class='code-text'>0</span> is less than <span class='code-text'>I1</span>, perform the instructions in A. otherwise perform <span class='code-text'>8</span> modulo <span class='code-text'>I2</span>. return the result.<br/><br />A: if <span class='code-text'>-6</span> and <span class='code-text'>I1</span> have different values, return <span class='code-text'>8</span>. otherwise return <span class='code-text'>8</span>.
int,int
I1,I2
14,-16#8
10,-20#8
14,-4#8
12,-8#8
11,20#8
2,-15#8
14,0#8
12,2#8
14,18#8
10,15#8
19,-12#8
3,-7#8
7,-9#8
2,0#8
13,5#8
11,6#8
19,-6#8
11,7#8
10,-7#8
10,20#8
1,13#8
5,13#8
15,-3#8
6,0#8
15,13#8
12,3#8
8,-13#8
17,13#8
19,17#8
13,-6#8
14,14#8
9,-16#8
2,20#8
8,11#8
2,19#8
12,2#8
6,-8#8
14,-3#8
10,-3#8
17,20#8
1,-16#8
18,3#8
17,10#8
12,17#8
4,-9#8
7,2#8
11,-12#8
15,-7#8
3,-17#8
18,20#8
9,1#8
14,20#8
17,-3#8
10,18#8
19,-6#8
14,1#8
