complete the function. get the product of 5 and <span class='code-text'>I1</span>. store the result in <span class='code-text'>X1</span>. if the value of -9 is less than <span class='code-text'>I1</span>, return <span class='code-text'>X1</span>. otherwise perform 5 modulo <span class='code-text'>I2</span>. return the result.
int,int
I1,I2
16,-12#80
-4,-6#-20
-4,-9#-20
-6,-8#-30
15,-17#75
-4,-2#-20
-7,-12#-35
20,-15#100
6,-9#30
5,7#25
8,-12#40
15,7#75
3,-5#15
-3,-16#-15
-2,-19#-10
10,-14#50
16,9#80
-2,-4#-10
11,-18#55
-1,-8#-5
18,3#90
4,12#20
16,-13#80
13,10#65
-8,7#-40
-1,-16#-5
2,-12#10
16,-17#80
-2,0#-10
5,2#25
-7,-13#-35
12,-3#60
14,12#70
17,15#85
13,14#65
4,18#20
-3,-18#-15
9,-19#45
10,4#50
-1,16#-5
3,-8#15
7,15#35
20,12#100
16,5#80
19,7#95
10,16#50
13,20#65
-3,0#-15
15,10#75
-1,7#-5
15,7#75
-7,2#-35
18,15#90
3,-1#15
17,13#85
8,-12#40
15,9#75
17,20#85
14,-7#70
6,4#30
5,-1#25
15,-9#75
-2,-2#-10
8,3#40
2,6#10
11,13#55
