関数をつくりましょう． もし <span class='code-text'>I1</span> が少なくとも <span class='code-text'>8</span> と同じ大きさなら, <span class='code-text'>4</span> を <span class='code-text'>I2</span> で割りましょう（結果は整数）. その結果 を返しましょう. そうでなければ, <span class='code-text'>I2</span> と <span class='code-text'>1</span> の合計を求めましょう. その結果 の値を返しましょう.
int,int
I1,I2
-1,20#21
-12,3#4
1,3#4
0,-18#-17
19,12#0
-10,-7#-6
-19,11#12
8,2#2
-10,16#17
-9,6#7
16,10#0
7,2#3
18,-7#0
-10,-19#-18
-16,11#12
10,-6#0
-18,18#19
18,-3#-1
16,3#1
19,2#2
11,11#0
20,1#4
-9,10#11
-7,15#16
14,3#1
14,14#0
4,0#1
10,6#0
-14,10#11
16,13#0
18,8#0
-9,13#14
19,-9#0
11,14#0
3,12#13
3,1#2
-5,-20#-19
19,13#0
19,-18#0
20,-5#0
10,-3#-1
16,7#0
17,-9#0
-1,-6#-5
16,-20#0
-9,14#15
-3,19#20
13,-17#0
-15,19#20
13,5#0
-1,-19#-18
6,6#7
-8,-14#-13
-14,5#6
3,-8#-7
15,-6#0
-15,-18#-17
16,-15#0
14,-19#0
2,-7#-6
-4,10#11
13,1#4
-10,17#18
2,7#8
2,18#19
-8,-14#-13
-14,3#4
-16,5#6
16,12#0
-19,-15#-14
-11,20#21
-12,5#6
4,20#21
19,-10#0
-15,-5#-4
4,-19#-18
13,-5#0
-7,-5#-4
11,-16#0
-8,-10#-9
-2,6#7
-7,-9#-8
5,-8#-7
3,20#21
6,20#21
8,10#0
-14,6#7
12,17#0
-18,-5#-4
14,-5#0
8,15#0
-4,4#5
8,3#1
-5,-18#-17
-8,-11#-10
-13,-9#-8
-17,5#6
-17,-2#-1
7,9#10
